Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-08-08,63929.69921875,65348.25763336724,63740.55809680104,65253.68707239276,14664709
2023-08-09,65159.1328125,65821.12690493469,64213.426966164734,64307.99755079826,17259673
2023-08-10,64307.97265625,64780.82539636949,64118.831560202205,64591.68430032169,10227311
2023-08-11,63835.12890625,65064.54620370371,63835.12890625,64686.26395833334,9781038
2023-08-14,63645.99609375,64213.419535893394,63267.713798987745,63835.13724113113,9352343
2023-08-16,63362.28125,63456.85181902985,62700.28726679105,63078.56954291045,13174578
2023-08-17,63078.56640625,63173.13697057721,62416.57245595952,62700.28414894115,10778652
2023-08-18,62700.27734375,63078.559560001886,62227.42457343514,62416.565681561086,11745006
2023-08-21,62984.0,63456.85285285285,62700.288288288284,62984.0,9720067
2023-08-22,62984.0,64024.27627627627,62700.288288288284,63551.42342342342,10500242
2023-08-23,63456.83203125,63456.83203125,62794.83825447094,63078.54987309054,9549352
2023-08-24,64497.1328125,64969.98569235703,64213.421084585774,64591.703388471404,15044463
2023-08-25,63456.83203125,63740.5436498696,63267.69095217027,63456.83203125,7032462
2023-08-28,63173.140625,63362.281764595806,62889.42891560629,63173.140625,5824628
2023-08-29,63173.140625,63551.42290419162,62983.999485404194,63267.71119479791,9114352
2023-08-30,63456.83203125,64024.25526848919,63456.83203125,63645.97311032973,9181223
2023-08-31,63267.70703125,63551.41872197309,62794.854213378174,63456.84815839872,15964630
2023-09-01,67145.09375,67145.09375,63078.559903169014,63173.13045774648,29738235
2023-09-04,67334.2265625,68941.92579222261,66861.3738478757,68941.92579222261,26286495
2023-09-05,66861.390625,67617.95515823904,66388.5377917256,67050.53175830976,12330239
2023-09-06,66199.3828125,66955.9471875,65915.671171875,66861.37664062499,11414620
2023-09-07,66577.6796875,66766.82082297585,65821.11514559659,66199.3974165483,13741241
2023-09-08,66483.109375,66483.109375,65821.11539829303,66388.538806899,10688118
2023-09-11,66955.953125,66955.953125,66199.3886829096,66577.6709039548,11785462
2023-09-12,66672.234375,67145.08710106382,66577.66382978723,66955.94601063829,11688599
2023-09-13,67050.53125,67712.52521156559,66483.10785437236,67239.67238187589,15955797
2023-09-14,67807.1015625,67901.67213650628,66955.96639644352,67334.24869246862,21041407
2023-09-15,68090.796875,68374.50852864583,67523.37356770833,67807.08522135417,17823512
2023-09-18,66388.5390625,67807.0975894765,66388.5390625,67428.8153156161,16040727
2023-09-19,66010.2578125,66955.96351181949,65821.1166726361,66577.6812320917,11820188
2023-09-20,65821.09375,66483.0875089799,65726.52321300287,66199.3758979885,10873015
2023-09-21,65159.1328125,66010.26807420174,65064.562227866474,65442.844566400585,10796336
2023-09-22,65064.55859375,65159.12917310138,64591.70569699309,64591.70569699309,9897840
2023-09-25,65631.984375,65915.69612301873,64780.8491309438,64780.8491309438,13582516
2023-09-26,65214.62890625,66545.5397002551,65024.4987928207,66545.5397002551,13143470
2023-09-27,65024.5234375,65689.97908671419,64834.39325201023,65214.65362298977,14886491
2023-10-04,64168.921875,64359.05201388889,63408.40131944445,64073.85680555556,23361149
2023-10-05,63408.40625,64073.86178785607,63408.40625,63978.79671101949,16108313
2023-10-06,62742.9453125,63978.79120501894,62742.9453125,63788.66106770834,14386527
2023-10-10,63123.203125,64263.98390436747,62933.07299510542,62933.07299510542,19889202
2023-10-11,64834.38671875,65975.16771673388,64549.19146925404,65214.647051411295,25209349
2023-10-12,65499.83984375,66260.36048054245,64834.384286556604,65214.64460495283,19311380
2023-10-13,64644.2578125,65119.58323759191,64359.06255744486,64644.2578125,9724086
2023-10-16,63978.796875,65119.57779996285,63503.47148959881,64549.187337481424,12599299
2023-10-17,65975.1640625,66450.48945199928,64073.86250450288,64359.05773820245,17299253
2023-10-18,67020.8671875,67020.8671875,65404.76117021277,65499.82623005319,16493184
2023-10-19,66070.2265625,66545.55193345323,65975.16148830936,66260.3567108813,13985012
2023-10-20,65404.77734375,65785.03767714389,64739.32176031068,65499.84242709847,15204495
2023-10-23,65024.5234375,65689.97908671419,64834.39325201023,65309.71871573465,11625959
2023-10-24,65119.56640625,65404.761587591245,64359.04592267336,65309.696527144166,12791710
2023-10-25,64644.2578125,65404.77849264706,64549.19272748162,65404.77849264706,10610703
2023-10-26,63408.40625,64549.18717203898,63408.40625,63693.601480509744,15517624
2023-10-27,63978.796875,63978.796875,63408.40641251857,63788.66672083952,11334726
2023-10-30,63978.796875,64454.122260401185,63408.40641251857,63503.47148959881,10139270
2023-10-31,63598.53125,64929.44221786248,63598.53125,64263.98673393124,14488892
2023-11-01,65214.62890625,65499.82407639395,63978.78316895955,64168.91328238884,13775256
2023-11-02,66260.359375,66545.55460903874,65975.16414096126,66545.55460903874,16350031
2023-11-03,66165.2890625,66735.6794854526,66070.2239920079,66260.3541329921,10322234
2023-11-06,67401.140625,67401.140625,65880.09936971086,66355.42476198872,22228489
2023-11-07,67401.140625,67401.140625,66545.55491889986,67115.94538963329,17228731
2023-11-08,66450.4765625,67876.45245439914,66260.34644358011,67781.3873949392,12901310
2023-11-09,66830.7421875,67306.06752311523,66165.2867176387,66450.48191900783,12301373
2023-11-10,67020.8671875,67020.8671875,66070.21658909575,66545.54188829787,9684347
2023-11-13,66925.8046875,67781.39025878906,66830.73962402344,67781.39025878906,9246919
2023-11-14,67306.0625,67591.25768008475,67115.9323799435,67496.19262005649,9567984
